X,Y,Z,Bx,By,Bz
-10.0,-8.5,-3.0,-3.586368967044499,-5.741606211231245,10.767970212870669
-10.0,-8.5,-2.5,-2.7054348857554986,-5.047373642726372,11.487240424577259
-10.0,-8.5,-2.0,-1.7361312759759038,-4.26752085542904,12.095604760343274
-10.0,-8.5,-1.5,-0.6937990666643747,-3.4141585858276473,12.572290900270172
-10.0,-8.5,-1.0,0.402594812804855,-2.502695317027023,12.899950987326372
-10.0,-8.5,-0.5,1.5311706151382893,-1.5512664967422312,13.065805459432779
-10.0,-8.5,0.0,2.668102845453859,-0.5799364327455473,13.062537480234015
-10.0,-8.5,0.5,3.788769163297753,0.3902680619397879,12.888838920192894
-10.0,-8.5,1.0,4.868983818414302,1.338410550560542,12.549544010826455
-10.0,-8.5,1.5,5.886205668463566,2.2446905616661823,12.05533276185867
-10.0,-8.5,2.0,6.820613359526736,3.09138892413648,11.422035490280935
-10.0,-8.5,2.5,7.655957588211656,3.863633554792364,10.669614053414167
-10.0,-8.5,3.0,8.380129226597058,4.549930232291497,9.820927417005695
-10.0,-8.5,3.5,8.985417137669314,5.142432406765685,8.900404551470656
-10.0,-8.5,4.0,9.468464662034835,5.636954126612698,7.932745382485272
-10.0,-8.5,4.5,9.829963589406203,6.032756026294435,6.941753039307113
-10.0,-8.5,5.0,10.07415060289203,6.332151863488403,5.949383685269258
-10.0,-8.5,5.5,10.208144692625348,6.540000933840689,4.974989955707159
-10.0,-8.5,6.0,10.241271003610835,6.663120581296994,4.034939741383178
-10.0,-8.5,6.5,10.184336992806513,6.709713327095467,3.1423646363804396
-10.0,-8.5,7.0,10.048978909457773,6.688813121645685,2.30717926342756
-10.0,-8.5,7.5,9.847086891140309,6.609798955404593,1.5362561138323134
-10.0,-8.5,8.0,9.590332109841334,6.4819900136521165,0.8337194565185304
-10.0,-8.5,8.5,9.289802452845706,6.31432915456325,0.20131230366371788
-10.0,-8.5,9.0,8.955743217210546,6.115152918823852,-0.3612035131550387
-10.0,-8.5,9.5,8.597392432333116,5.892040305066216,-0.8556460364220267
-10.0,-8.5,10.0,8.22289647238239,5.651729007485627,-1.2850339519680314
-10.0,-8.0,-10.0,-6.7544885990807035,-6.940550980649246,-0.35669388289160353
-10.0,-8.0,-9.5,-7.012768658000579,-7.236880383224662,0.13113844103567845
-10.0,-8.0,-9.0,-7.245080364276992,-7.515959208115437,0.6867042829030664
-10.0,-8.0,-8.5,-7.4425637262076005,-7.770351888138224,1.3126830820849646
-10.0,-8.0,-8.0,-7.5952865459067205,-7.991647547286948,2.0103701355424115
-10.0,-8.0,-7.5,-7.6923641338769295,-8.170543259506458,2.7792527127627715
-10.0,-8.0,-7.0,-7.722171865473251,-8.297003938998738,3.6165619403656466
-10.0,-8.0,-6.5,-7.672666651722478,-8.360513049498246,4.516827636571629
-10.0,-8.0,-6.0,-7.531828519761013,-8.350424566381935,5.471473623466213
-10.0,-8.0,-5.5,-7.288232197206546,-8.25642835469001,6.468498269112224
-10.0,-8.0,-5.0,-6.931697606229613,-8.069072363661373,7.492313453929366
-10.0,-8.0,-4.5,-6.454093366916323,-7.780446560915686,8.523748651005835
-10.0,-8.0,-4.0,-5.850122168245808,-7.384831065190673,9.540348353775267
-10.0,-8.0,-3.5,-5.118116669871707,-6.879378255169373,10.516942912297308
-10.0,-8.0,-3.0,-4.260733218818739,-6.2647183909739415,11.426534619596925
-10.0,-8.0,-2.5,-3.285462257995365,-5.54542490570416,12.241477651004026
-10.0,-8.0,-2.0,-2.2048707392349245,-4.7302684017226495,12.934895037995702
